Date,Ping,Download-Speed,Upload-Speed
Thu Feb  2 10:45:01  2017,x,x,x
Thu Feb  2 11:00:01  2017,x,x,x
Thu Feb  2 11:15:01  2017,x,x,x
Thu Feb  2 11:30:01  2017,x,x,x
Thu Feb  2 11:45:01  2017,x,x,x
Thu Feb  2 12:00:01  2017, 125.37,0.28 ,0.04 
Thu Feb  2 12:15:01  2017,42.513 ,0.27 ,0.00 
Thu Feb  2 12:30:01  2017,x,x,x
Thu Feb  2 12:45:01  2017,56.809 ,0.31 ,0.10 
Thu Feb  2 13:00:01  2017,57.524 ,1.25 ,0.09 
Thu Feb  2 13:15:01  2017,44.88 ,0.15 ,0.23 
Thu Feb  2 13:30:01  2017,x,x,x
Thu Feb  2 13:45:01  2017,x,x,x
Thu Feb  2 14:00:01  2017,47.928 ,1.47 ,0.00 
Thu Feb  2 14:15:01  2017,x,x,x
Thu Feb  2 14:30:01  2017,47.892 ,0.24 ,0.00 
Thu Feb  2 14:45:01  2017,x,x,x
Thu Feb  2 15:00:01  2017,x,x,x
Thu Feb  2 15:15:01  2017,x,x,x
Thu Feb  2 15:30:02  2017,x,x,x
Thu Feb  2 15:45:01  2017,x,x,x
Thu Feb  2 16:00:01  2017,x,x,x
Thu Feb  2 16:15:01  2017,x,x,x
Thu Feb  2 16:30:01  2017,x,x,x
Thu Feb  2 16:45:01  2017,x,x,x
Thu Feb  2 17:00:01  2017,x,x,x
Thu Feb  2 17:15:01  2017,x,x,x
Thu Feb  2 17:30:01  2017,x,x,x
Thu Feb  2 17:45:01  2017,53.256,0.30 ,0.05 
Thu Feb  2 18:00:01  2017,x,x,x
Thu Feb  2 18:15:01  2017,49.081,0.16 ,0.00 
Thu Feb  2 18:30:01  2017,x,x,x
Thu Feb  2 18:45:01  2017,x,x,x
Thu Feb  2 19:00:01  2017,x,x,x
Thu Feb  2 19:15:01  2017,46.011 ,2.99 ,0.00 
Thu Feb  2 19:30:01  2017,x,x,x
Thu Feb  2 19:45:01  2017,x,x,x
Thu Feb  2 20:00:01  2017,x,x,x
Thu Feb  2 20:15:01  2017,x,x,x
Thu Feb  2 20:30:01  2017,x,x,x
Thu Feb  2 20:45:01  2017,x,x,x
Thu Feb  2 21:00:01  2017,133.397,0.06 ,0.00 
Thu Feb  2 21:15:01  2017,44.802 ,0.18 ,0.16 
Thu Feb  2 21:30:01  2017,56.086 ,0.17 ,0.10 
Thu Feb  2 21:45:01  2017,x,x,x
Thu Feb  2 22:00:01  2017,x,x,x
Thu Feb  2 22:15:01  2017,x,x,x
Thu Feb  2 22:30:01  2017,x,x,x
Thu Feb  2 22:45:01  2017,x,x,x
Thu Feb  2 23:00:01  2017,x,x,x
Thu Feb  2 23:15:01  2017,38.437 ,0.54 ,0.09 
Thu Feb  2 23:30:01  2017,x,x,x
Thu Feb  2 23:45:01  2017,x,x,x
Fri Feb  3 00:00:01  2017,x,x,x
Fri Feb  3 00:15:01  2017,x,x,x
Fri Feb  3 00:30:01  2017,53.305 ,0.75 ,0.00 
Fri Feb  3 00:45:01  2017,x,x,x
Fri Feb  3 01:00:01  2017,x,x,x
Fri Feb  3 01:15:01  2017,44.927 ,0.21 ,0.00 
Fri Feb  3 01:30:01  2017,x,x,x
Fri Feb  3 01:45:01  2017,x,x,x
Fri Feb  3 02:00:01  2017,x,x,x
Fri Feb  3 02:15:01  2017,x,x,x
Fri Feb  3 02:30:01  2017,36.981 ,1.06 ,0.12 
Fri Feb  3 02:45:06  2017,x,x,x
Fri Feb  3 03:00:02  2017,x,x,x
Fri Feb  3 03:15:01  2017,36.424 ,0.24 ,0.05 
Fri Feb  3 03:30:01  2017,x,x,x
Fri Feb  3 03:45:01  2017,31.782 ,0.78 ,0.00 
Fri Feb  3 04:00:01  2017,x,x,x
Fri Feb  3 04:15:01  2017,38.579 ,1.12 ,0.00 
Fri Feb  3 04:30:01  2017,x,x,x
Fri Feb  3 04:45:01  2017,x,x,x
Fri Feb  3 05:00:01  2017,32.103, 0.19 ,0.00 
Fri Feb  3 05:15:01  2017,x,x,x
Fri Feb  3 05:30:01  2017,x,x,x
Fri Feb  3 05:45:01  2017,x,x,x
Fri Feb  3 06:00:01  2017,x,x,x
Fri Feb  3 06:15:01  2017,x,x,x
Fri Feb  3 06:30:01  2017,x,x,x
Fri Feb  3 06:45:01  2017,37.661 ,0.92 ,0.00 
Fri Feb  3 07:00:01  2017,x,x,x
Fri Feb  3 07:15:01  2017,119.242 ,0.35 ,0.00 
Fri Feb  3 07:30:01  2017,x,x,x
Fri Feb  3 07:45:01  2017,61.692 ,0.25 ,0.07 
Fri Feb  3 08:00:01  2017,x,x,x
Fri Feb  3 08:15:01  2017,x,x,x
