Time of day, ping, download, upload
Isn Nov  7 22:45:01, 0,0,0;
Isn Nov  7 23:00:01, 0,0,0;
Isn Nov  7 23:15:01, 0,0,0;
Isn Nov  7 23:30:01, 0,0,0;
Isn Nov  7 23:45:01, 0,0,0;
Sel Nov  8 00:00:01, 0,0,0;
Sel Nov  8 00:15:01, 0,0,0;
Sel Nov  8 00:30:01, 0,0,0;
Sel Nov  8 00:45:01, 0,0,0;
Sel Nov  8 01:00:01, 0,0,0;
Sel Nov  8 01:15:01, 0,0,0;
Sel Nov  8 01:30:01, 0,0,0;
Sel Nov  8 01:45:01, 0,0,0;
Sel Nov  8 02:00:01, 0,0,0;
Sel Nov  8 02:15:01 ,43.538 ,14.84 ,8.53;
Sel Nov  8 02:30:01 ,39.018 ,16.33 ,6.88;
